[2024-05-31 00:40:23,792: INFO: app]: Text extracted and information parsed from ID card.
[2024-05-31 00:41:50,570: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 00:41:57,363: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 00:41:57,476: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:41:57,476: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:41:57,477: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:41:57,478: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:41:57,479: INFO: app]: ID card type selected: PAN
[2024-05-31 00:41:57,480: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:41:57,481: INFO: app]: ID card type selected: PAN
[2024-05-31 00:41:57,482: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:41:57,821: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:41:57,823: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:41:57,824: INFO: app]: ID card type selected: PAN
[2024-05-31 00:41:57,825: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:42:06,261: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:42:06,262: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:42:06,263: INFO: app]: ID card type selected: PAN
[2024-05-31 00:42:06,263: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:42:06,264: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2024-05-31 00:42:06,264: INFO: app]: Face image loaded.
[2024-05-31 00:42:06,264: ERROR: app]: No face image uploaded.
[2024-05-31 00:42:09,743: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:42:09,743: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:42:09,745: INFO: app]: ID card type selected: PAN
[2024-05-31 00:42:09,745: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:42:09,746: INFO: app]: Face image loaded.
[2024-05-31 00:42:09,750: INFO: app]: ID card image loaded.
[2024-05-31 00:42:09,755: INFO: preprocess]: contours are found at, (0, 0, 528, 352)
[2024-05-31 00:42:09,756: INFO: utils]: File is exis for C:\Users\faiza\Music\Project\eKYC\data\02_intermediate_data\contour_id.jpg
[2024-05-31 00:42:09,760: INFO: app]: ID card ROI extracted.
[2024-05-31 00:42:11,479: INFO: utils]: File is exis for data\02_intermediate_data\face_image.jpg
[2024-05-31 00:42:11,480: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2024-05-31 00:42:11,480: INFO: app]: Faces extracted and saved.
[2024-05-31 00:42:11,480: INFO: utils]: File is exis for data\02_intermediate_data\face_image.jpg
[2024-05-31 00:42:11,481: INFO: utils]: File is exis for C:\Users\faiza\Music\Project\eKYC\data\02_intermediate_data\extracted_face.jpg
[2024-05-31 00:42:13,134: INFO: app]: Face verification status: successful.
[2024-05-31 00:42:13,134: INFO: ocr_engine]: Text Extraction Started...
[2024-05-31 00:42:13,136: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2024-05-31 00:42:14,564: INFO: ocr_engine]: Inside Try-Catch...
[2024-05-31 00:42:15,559: INFO: app]: Text extracted and information parsed from ID card.
[2024-05-31 00:42:59,709: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 00:43:06,170: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 00:43:06,271: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:43:06,423: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:43:06,423: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:43:06,423: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:43:06,579: INFO: app]: ID card type selected: PAN
[2024-05-31 00:43:06,579: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:43:06,579: INFO: app]: ID card type selected: PAN
[2024-05-31 00:43:06,730: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:43:06,892: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:43:06,893: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:43:06,894: INFO: app]: ID card type selected: PAN
[2024-05-31 00:43:06,894: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:43:14,865: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:43:14,865: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:43:14,867: INFO: app]: ID card type selected: PAN
[2024-05-31 00:43:14,867: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:43:14,868: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2024-05-31 00:43:14,869: INFO: app]: Face image loaded.
[2024-05-31 00:43:14,869: ERROR: app]: No face image uploaded.
[2024-05-31 00:43:19,255: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:43:19,256: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:43:19,257: INFO: app]: ID card type selected: PAN
[2024-05-31 00:43:19,257: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:43:19,258: INFO: app]: Face image loaded.
[2024-05-31 00:43:19,262: INFO: app]: ID card image loaded.
[2024-05-31 00:43:19,267: INFO: preprocess]: contours are found at, (0, 0, 528, 352)
[2024-05-31 00:43:19,267: INFO: utils]: File is exis for C:\Users\faiza\Music\Project\eKYC\data\02_intermediate_data\contour_id.jpg
[2024-05-31 00:43:19,272: INFO: app]: ID card ROI extracted.
[2024-05-31 00:43:20,918: INFO: utils]: File is exis for data\02_intermediate_data\face_image.jpg
[2024-05-31 00:43:20,919: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2024-05-31 00:43:20,919: INFO: app]: Faces extracted and saved.
[2024-05-31 00:43:20,920: INFO: utils]: File is exis for data\02_intermediate_data\face_image.jpg
[2024-05-31 00:43:20,920: INFO: utils]: File is exis for C:\Users\faiza\Music\Project\eKYC\data\02_intermediate_data\extracted_face.jpg
[2024-05-31 00:43:22,476: INFO: app]: Face verification status: successful.
[2024-05-31 00:43:22,477: INFO: ocr_engine]: Text Extraction Started...
[2024-05-31 00:43:22,477: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2024-05-31 00:43:23,901: INFO: ocr_engine]: Inside Try-Catch...
[2024-05-31 00:43:24,814: INFO: app]: Text extracted and information parsed from ID card.
[2024-05-31 00:43:24,816: INFO: utils]: File is exis for data\02_intermediate_data\face_image.jpg
[2024-05-31 00:45:28,427: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 00:45:34,707: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 00:45:34,809: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:45:34,810: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:45:34,810: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:45:34,960: INFO: app]: ID card type selected: PAN
[2024-05-31 00:45:34,960: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:45:34,962: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:45:34,965: INFO: app]: ID card type selected: PAN
[2024-05-31 00:45:34,965: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:45:35,269: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:45:35,269: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:45:35,270: INFO: app]: ID card type selected: PAN
[2024-05-31 00:45:35,270: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:52:37,018: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 00:53:16,199: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 00:53:50,418: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 00:54:36,208: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 00:54:51,655: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 00:55:00,355: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 01:06:31,217: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 01:06:37,169: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 01:06:37,265: INFO: app]: Page layout set to wider configuration.
[2024-05-31 01:06:37,266: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 01:06:37,266: INFO: app]: ID card type selected: PAN
[2024-05-31 01:06:37,268: INFO: app]: Header set for PAN Card registration.
[2024-05-31 01:06:51,834: INFO: app]: Page layout set to wider configuration.
[2024-05-31 01:06:51,835: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 01:06:51,836: INFO: app]: ID card type selected: PAN
[2024-05-31 01:06:51,837: INFO: app]: Header set for PAN Card registration.
[2024-05-31 01:06:53,312: INFO: app]: Page layout set to wider configuration.
[2024-05-31 01:06:53,313: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 01:06:53,315: INFO: app]: ID card type selected: PAN
[2024-05-31 01:06:53,315: INFO: app]: Header set for PAN Card registration.
[2024-05-31 01:06:53,317: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2024-05-31 01:06:53,317: INFO: app]: Face image loaded.
[2024-05-31 01:06:53,318: ERROR: app]: No face image uploaded.
[2024-05-31 01:06:54,844: INFO: app]: Page layout set to wider configuration.
[2024-05-31 01:06:54,845: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 01:06:54,846: INFO: app]: ID card type selected: PAN
[2024-05-31 01:06:54,846: INFO: app]: Header set for PAN Card registration.
[2024-05-31 01:07:55,362: INFO: app]: Page layout set to wider configuration.
[2024-05-31 01:07:55,362: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 01:07:55,363: INFO: app]: ID card type selected: PAN
[2024-05-31 01:07:55,363: INFO: app]: Header set for PAN Card registration.
[2024-05-31 01:07:55,367: INFO: app]: Face image loaded.
[2024-05-31 01:07:55,370: INFO: app]: ID card image loaded.
[2024-05-31 01:07:55,375: INFO: preprocess]: contours are found at, (21, 0, 498, 309)
[2024-05-31 01:07:55,375: INFO: utils]: File is exis for C:\Users\faiza\Music\Project\eKYC\data\02_intermediate_data\contour_id.jpg
[2024-05-31 01:07:55,380: INFO: app]: ID card ROI extracted.
[2024-05-31 01:07:55,724: INFO: utils]: File is exis for data\02_intermediate_data\face_image.jpg
[2024-05-31 01:07:55,725: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2024-05-31 01:07:55,726: INFO: app]: Faces extracted and saved.
[2024-05-31 01:07:55,726: INFO: utils]: File is exis for data\02_intermediate_data\face_image.jpg
[2024-05-31 01:07:55,726: INFO: utils]: File is exis for C:\Users\faiza\Music\Project\eKYC\data\02_intermediate_data\extracted_face.jpg
[2024-05-31 01:07:57,585: INFO: app]: Face verification status: successful.
[2024-05-31 01:07:57,586: INFO: ocr_engine]: Text Extraction Started...
[2024-05-31 01:07:57,588: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2024-05-31 01:07:59,044: INFO: ocr_engine]: Inside Try-Catch...
[2024-05-31 01:07:59,903: INFO: app]: Text extracted and information parsed from ID card.
[2024-05-31 01:08:56,199: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 01:09:03,336: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 01:09:03,451: INFO: app]: Page layout set to wider configuration.
[2024-05-31 01:09:03,451: INFO: app]: Page layout set to wider configuration.
[2024-05-31 01:09:03,612: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 01:09:03,612: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 01:09:03,616: INFO: app]: ID card type selected: PAN
[2024-05-31 01:09:03,616: INFO: app]: ID card type selected: PAN
[2024-05-31 01:09:03,617: INFO: app]: Header set for PAN Card registration.
[2024-05-31 01:09:03,618: INFO: app]: Header set for PAN Card registration.
[2024-05-31 01:09:03,964: INFO: app]: Page layout set to wider configuration.
[2024-05-31 01:09:03,965: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 01:09:03,966: INFO: app]: ID card type selected: PAN
[2024-05-31 01:09:03,966: INFO: app]: Header set for PAN Card registration.
[2024-05-31 01:09:17,951: INFO: app]: Page layout set to wider configuration.
[2024-05-31 01:09:17,951: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 01:09:17,952: INFO: app]: ID card type selected: PAN
[2024-05-31 01:09:17,952: INFO: app]: Header set for PAN Card registration.
[2024-05-31 01:09:17,953: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2024-05-31 01:09:17,953: INFO: app]: Face image loaded.
[2024-05-31 01:09:17,953: ERROR: app]: No face image uploaded.
[2024-05-31 01:09:34,034: INFO: app]: Page layout set to wider configuration.
[2024-05-31 01:09:34,034: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 01:09:34,036: INFO: app]: ID card type selected: PAN
[2024-05-31 01:09:34,036: INFO: app]: Header set for PAN Card registration.
[2024-05-31 01:09:34,038: INFO: app]: Face image loaded.
[2024-05-31 01:09:34,040: INFO: app]: ID card image loaded.
[2024-05-31 01:09:34,044: INFO: preprocess]: contours are found at, (21, 0, 498, 309)
[2024-05-31 01:09:34,044: INFO: utils]: File is exis for C:\Users\faiza\Music\Project\eKYC\data\02_intermediate_data\contour_id.jpg
[2024-05-31 01:09:34,048: INFO: app]: ID card ROI extracted.
